unreal_name,priority,source_file,category,role,source_type,license,creator,source_url,target_unreal_path,channels,sample_rate,bit_depth,duration_seconds,loop,notes
S_UI_Hover,P0,SourceAudio/Procedural/S_UI_Hover.wav,UI,Button hover,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/UI,1,48000,16,0.22,False,Short toy bell tick.
S_UI_Click,P0,SourceAudio/Procedural/S_UI_Click.wav,UI,Button click,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/UI,1,48000,16,0.2,False,Soft pop with a small transient.
S_WaveStart,P0,SourceAudio/Procedural/S_WaveStart.wav,UI,Wave start,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/UI,1,48000,16,1.08,False,Three rising countdown beeps.
S_Pickup_SmallFeed,P0,SourceAudio/Procedural/S_Pickup_SmallFeed.wav,Items,Small feed pickup,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Items,1,48000,16,0.4,False,Light collectible chime.
S_Pickup_LargeFeed,P0,SourceAudio/Procedural/S_Pickup_LargeFeed.wav,Items,Large feed pickup,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Items,1,48000,16,0.52,False,Brighter reward chime.
S_Heal,P0,SourceAudio/Procedural/S_Heal.wav,Character,Health recovered,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Character,1,48000,16,0.82,False,Soft upward bell recovery.
S_StaminaRecover,P0,SourceAudio/Procedural/S_StaminaRecover.wav,Character,Stamina recovered,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Character,1,48000,16,0.5,False,Quick mint-like energy rise.
S_PlayerHit,P0,SourceAudio/Procedural/S_PlayerHit.wav,Character,Player damaged,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Character,1,48000,16,0.38,False,"Rubbery thud, not violent."
S_ToyBomb,P0,SourceAudio/Procedural/S_ToyBomb.wav,Items,Toy bomb,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Items,1,48000,16,0.72,False,Small toy burst with muted low end.
S_Debuff_Slow,P0,SourceAudio/Procedural/S_Debuff_Slow.wav,Character,Slow applied,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Character,1,48000,16,0.58,False,Tiny wet splash and low wobble.
S_Debuff_Reverse,P0,SourceAudio/Procedural/S_Debuff_Reverse.wav,Character,Reverse control applied,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Character,1,48000,16,0.62,False,Playful dizzy wobble.
S_GameOver,P0,SourceAudio/Procedural/S_GameOver.wav,UI,Game over,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/UI,1,48000,16,1.55,False,Comic descending toy-bell sting.
S_Debuff_End,P1,SourceAudio/Procedural/S_Debuff_End.wav,Character,Status effect ended,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Character,1,48000,16,0.36,False,Short clean release.
S_ShieldApply,P1,SourceAudio/Procedural/S_ShieldApply.wav,Character,Shield applied,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Character,1,48000,16,0.72,False,Glass bubble appears.
S_ShieldBlock,P1,SourceAudio/Procedural/S_ShieldBlock.wav,Character,Shield blocked damage,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Character,1,48000,16,0.42,False,Light elastic bounce.
S_Debuff_Lock,P1,SourceAudio/Procedural/S_Debuff_Lock.wav,Character,Movement lock applied,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Character,1,48000,16,0.52,False,Thread wrap and stop.
S_ComboReward,P1,SourceAudio/Procedural/S_ComboReward.wav,UI,Combo reward,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/UI,1,48000,16,0.78,False,Fast rising arpeggio.
S_ComboBreak,P1,SourceAudio/Procedural/S_ComboBreak.wav,UI,Combo broken,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/UI,1,48000,16,0.45,False,Small descending pop.
S_GoldenWingSnack_Appear,P1,SourceAudio/Procedural/S_GoldenWingSnack_Appear.wav,Items,Golden wing snack appeared,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Items,1,48000,16,0.95,False,Golden ring burst.
S_GoldenWingSnack_Pickup,P1,SourceAudio/Procedural/S_GoldenWingSnack_Pickup.wav,Items,Golden wing snack pickup,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Items,1,48000,16,1.18,False,Large sparkling arpeggio.
S_RobotVacuum_Warning,P1,SourceAudio/Procedural/S_RobotVacuum_Warning.wav,Environment,Robot vacuum warning,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Environment,1,48000,16,0.9,False,Soft electronic warning.
S_RobotVacuum_Hit,P1,SourceAudio/Procedural/S_RobotVacuum_Hit.wav,Environment,Robot vacuum hit,Procedural synthesis,Project-owned generated asset,CH03_Task05,,/Game/Audio/SFX/Environment,1,48000,16,0.55,False,Muted plastic collision.
